Category,Subtitle,Name,Description,Price,Tags
TANGLED & TASTY,RICE,MIXED SCHEZWAN RICE,"Rice with carrot, beans, american corn & dry chilli tossed in spicy schezwan pepper, chilli sauce and tomato sauce.",265,"Non-veg, Chilli"
TANGLED & TASTY,RICE,CHICKEN SCHEZWAN RICE,"Rice with carrot, beans, american corn & dry chilli tossed in spicy schezwan pepper, chilli sauce and tomato sauce.",235,"Non-veg, Chilli"
TANGLED & TASTY,RICE,VEG SCHEZWAN RICE,"Rice with carrot, beans, american corn & dry chilli tossed in spicy schezwan pepper, chilli sauce and tomato sauce.",185,"Veg, Chilli"
TANGLED & TASTY,NOODLES,MIXED HAKKA NOODLES,"Wok-tossed noodles with vegetables such as cabbage, carrot, capsicum stir fried in flavorful chinese seasoning.",235,Veg
TANGLED & TASTY,NOODLES,CHICKEN HAKKA NOODLES,"Wok-tossed noodles with vegetables such as cabbage, carrot, capsicum stir fried in flavorful chinese seasoning.",205,Non-veg
TANGLED & TASTY,NOODLES,VEG HAKKA NOODLES,"Wok-tossed noodles with vegetables such as cabbage, carrot, capsicum stir fried in flavorful chinese seasoning.",155,Veg
TANGLED & TASTY,NOODLES,MIXED PAN-FRIED NOODLE,"Pan-fried noodles served with diced vegetables in oyster sauce, dark soy and flavoured with wine (non-alcoholic).",265,Non-veg
TANGLED & TASTY,NOODLES,CHICKEN PAN-FRIED NOODLE,"Pan-fried noodles served with diced vegetables in oyster sauce, dark soy and flavoured with wine (non-alcoholic).",235,Non-veg
TANGLED & TASTY,NOODLES,VEG PAN-FRIED NOODLE,"Pan-fried noodles served with diced vegetables in oyster sauce, dark soy and flavoured with wine (non-alcoholic).",185,Veg
TANGLED & TASTY,NOODLES,MIXED CHILLI GARLIC NOODLE,"Noodles, capsicum in garlic-chili paste, tomato ketchup flavored with chopped garlic, mildly spicy.",255,"Non-veg, Chilli"
TANGLED & TASTY,NOODLES,CHICKEN CHILLI GARLIC NOODLE,"Noodles, capsicum in garlic-chili paste, tomato ketchup flavored with chopped garlic, mildly spicy.",225,"Non-veg, Chilli"
